id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KCDPCPO25N000007942,장소,공원,4896584,개맥이공원,,,50706,어린이놀이터,4131010700110040000,경기도,구리시,토평동,,1004,4131010700,4131059000,,,,127.1515282,37.5926184,다사692548,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007943,장소,공원,4902586,이동공원,,,50705,지역근린공원,4127110200107110000,경기도,안산시상록구,이동,,711,4127110200,4127151500,412713190040.0,석호로,19,126.8487922,37.3089955,다사422235,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007944,장소,공원,4903020,석호공원,,,50705,지역근린공원,4127110300115830000,경기도,안산시상록구,사동,,1583,4127110300,4127152500,412713190039.0,석호공원로,1,126.8446093,37.3026154,다사419228,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007945,장소,공원,4903866,햇님공원,,,50705,지역근린공원,2638010300106010000,부산광역시,사하구,하단동,,601,2638010300,2638056100,,,,128.9606608,35.1034312,마라331796,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007946,장소,공원,4904088,지도공원,,,50705,지역근린공원,4128112000100030039,경기도,고양시덕양구,토당동,,3-39,4128112000,4128163000,412814376233.0,지도로80번길,38,126.8277008,37.6255243,다사406586,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007947,장소,공원,4904093,토당공원,,,50705,지역근린공원,4128112800106340087,경기도,고양시덕양구,행신동,,634-87,4128112800,4128164000,412814376296.0,행당로33번길,25-6,126.8284599,37.6214215,다사407582,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007948,장소,공원,4904831,남양주청학근린공원,,,50705,지역근린공원,4136031021104100000,경기도,남양주시,별내면,청학리,410,4136031021,4136031000,413604391713.0,청학로68번길,40,127.1206884,37.7103602,다사665679,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007949,장소,공원,4924935,백제요지공원,,,50705,지역근린공원,1162010300200670001,서울특별시,관악구,남현동,,산67-1,1162010300,1162063000,116204160293.0,남현3길,48-4,126.9794935,37.4745949,다사539418,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007950,장소,공원,4928101,후곡공원,,,50705,지역근린공원,4148010100109950000,경기도,파주시,금촌동,,995,4148010100,4148052000,414803206051.0,쇠재로,33,126.7714246,37.7511933,다사358726,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007951,장소,공원,4928160,쇠재공원,,,50705,지역근린공원,4148010100110100000,경기도,파주시,금촌동,,1010,4148010100,4148052000,,,,126.776748,37.7504284,다사362725,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007952,장소,공원,4928161,금능공원,,,50705,지역근린공원,4148012300104280000,경기도,파주시,금릉동,,428,4148012300,4148052000,414803201001.0,가나무로,130,126.7800344,37.753463,다사365728,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007953,장소,공원,4928388,고척근린공원,,,50705,지역근린공원,1153010600200090014,서울특별시,구로구,고척동,,산9-14,1153010600,1153073000,115304148171.0,고척로45길,31,126.8522616,37.5050207,다사427452,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007954,장소,공원,4928930,동천근린공원,,,50705,지역근린공원,2723012400109500001,대구광역시,북구,동천동,,950-1,2723012400,2723078000,,,,128.5593364,35.9344657,라마955713,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007955,장소,공원,4929514,아차산체육공원,,,50705,지역근린공원,1121510300100380004,서울특별시,광진구,구의동,,38-4,1121510300,1121586000,112152000008.0,천호대로,731,127.0976769,37.5490721,다사644500,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007956,장소,공원,4931216,화도숲속물놀이장,,,50705,지역근린공원,4136025621105680000,경기도,남양주시,화도읍,마석우리,568,4136025621,4136025600,,,,127.2994835,37.6556874,다사823618,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007957,장소,공원,4931558,훈련원공원,,,50705,지역근린공원,1114015100100400003,서울특별시,중구,을지로5가,,40-3,1114015100,1114060500,111403101006.0,을지로,227,127.0037797,37.5674278,다사561521,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
